,Dis,Ct,St,Ct Wk,Ct Fi,Inns,Opposition,Ground,Start Date,Match id
99,1,1,0,0,1,1,ODI v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
100,1,1,0,0,1,1,ODI v Australia,Brisbane,19 Feb 2012,ODI # 3244
101,0,0,0,0,0,1,ODI v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
102,1,1,0,0,1,1,ODI v Australia,Sydney,26 Feb 2012,ODI # 3250
103,0,0,0,0,0,1,ODI v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
104,2,2,0,0,2,2,ODI v Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
105,0,0,0,0,0,2,ODI v Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
106,2,2,0,0,2,1,ODI v Pakistan,Mirpur,18 Mar 2012,ODI # 3263
107,0,0,0,0,0,1,T20I v South Africa,Johannesburg,30 Mar 2012,T20I # 242
108,1,1,0,0,1,2,ODI v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
109,0,0,0,0,0,2,ODI v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
110,1,1,0,0,1,1,ODI v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
111,1,1,0,0,1,1,ODI v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
112,1,1,0,0,1,2,ODI v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
113,1,1,0,0,1,2,T20I v Sri Lanka,Pallekele,7 Aug 2012,T20I # 255
114,3,3,0,0,3,2,Test v New Zealand,Hyderabad,23 Aug 2012,Test # 2054
115,1,1,0,0,1,3,Test v New Zealand,Hyderabad,23 Aug 2012,Test # 2054
116,0,0,0,0,0,1,Test v New Zealand,Bengaluru,31 Aug 2012,Test # 2055
117,0,0,0,0,0,3,Test v New Zealand,Bengaluru,31 Aug 2012,Test # 2055
118,0,0,0,0,0,1,T20I v New Zealand,Chennai,11 Sep 2012,T20I # 261
119,0,0,0,0,0,2,T20I v Afghanistan,Colombo (RPS),19 Sep 2012,T20I # 265
120,1,1,0,0,1,2,T20I v England,Colombo (RPS),23 Sep 2012,T20I # 272
121,0,0,0,0,0,2,T20I v Australia,Colombo (RPS),28 Sep 2012,T20I # 278
122,0,0,0,0,0,1,T20I v Pakistan,Colombo (RPS),30 Sep 2012,T20I # 282
123,0,0,0,0,0,2,T20I v South Africa,Colombo (RPS),2 Oct 2012,T20I # 286
124,1,1,0,0,1,2,Test v England,Ahmedabad,15 Nov 2012,Test # 2058
125,0,0,0,0,0,3,Test v England,Ahmedabad,15 Nov 2012,Test # 2058
126,1,1,0,0,1,2,Test v England,Wankhede,23 Nov 2012,Test # 2062
127,0,0,0,0,0,4,Test v England,Wankhede,23 Nov 2012,Test # 2062
128,0,0,0,0,0,2,Test v England,Eden Gardens,5 Dec 2012,Test # 2065
129,0,0,0,0,0,4,Test v England,Eden Gardens,5 Dec 2012,Test # 2065
130,1,1,0,0,1,1,Test v England,Nagpur,13 Dec 2012,Test # 2066
131,1,1,0,0,1,3,Test v England,Nagpur,13 Dec 2012,Test # 2066
132,1,1,0,0,1,1,T20I v England,Pune,20 Dec 2012,T20I # 292
133,0,0,0,0,0,2,T20I v England,Wankhede,22 Dec 2012,T20I # 294
134,0,0,0,0,0,2,T20I v Pakistan,Bengaluru,25 Dec 2012,T20I # 296
135,2,2,0,0,2,2,T20I v Pakistan,Ahmedabad,28 Dec 2012,T20I # 298
136,0,0,0,0,0,2,ODI v Pakistan,Chennai,30 Dec 2012,ODI # 3314
137,0,0,0,0,0,1,ODI v Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
138,0,0,0,0,0,2,ODI v Pakistan,Delhi,6 Jan 2013,ODI # 3316
139,1,1,0,0,1,1,ODI v England,Rajkot,11 Jan 2013,ODI # 3318
140,0,0,0,0,0,2,ODI v England,Kochi,15 Jan 2013,ODI # 3320
141,0,0,0,0,0,1,ODI v England,Ranchi,19 Jan 2013,ODI # 3322
142,0,0,0,0,0,1,ODI v England,Mohali,23 Jan 2013,ODI # 3327
143,0,0,0,0,0,2,ODI v England,Dharamsala,27 Jan 2013,ODI # 3329
144,1,1,0,0,1,1,Test v Australia,Chennai,22 Feb 2013,Test # 2074
145,0,0,0,0,0,3,Test v Australia,Chennai,22 Feb 2013,Test # 2074
146,0,0,0,0,0,1,Test v Australia,Hyderabad,2 Mar 2013,Test # 2076
147,1,1,0,0,1,3,Test v Australia,Hyderabad,2 Mar 2013,Test # 2076
148,1,1,0,0,1,1,Test v Australia,Mohali,14 Mar 2013,Test # 2081
149,0,0,0,0,0,3,Test v Australia,Mohali,14 Mar 2013,Test # 2081
150,2,2,0,0,2,1,Test v Australia,Delhi,22 Mar 2013,Test # 2085
151,0,0,0,0,0,3,Test v Australia,Delhi,22 Mar 2013,Test # 2085
152,0,0,0,0,0,2,ODI v South Africa,Cardiff,6 Jun 2013,ODI # 3363
153,0,0,0,0,0,1,ODI v West Indies,The Oval,11 Jun 2013,ODI # 3368
154,1,1,0,0,1,1,ODI v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
155,0,0,0,0,0,1,ODI v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
156,0,0,0,0,0,2,ODI v England,Birmingham,23 Jun 2013,ODI # 3377
157,0,0,0,0,0,2,ODI v West Indies,Kingston,30 Jun 2013,ODI # 3380
158,0,0,0,0,0,1,ODI v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
159,0,0,0,0,0,2,ODI v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
160,1,1,0,0,1,2,ODI v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
161,0,0,0,0,0,1,ODI v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
162,0,0,0,0,0,1,ODI v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
163,0,0,0,0,0,2,ODI v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
164,0,0,0,0,0,1,ODI v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
165,1,1,0,0,1,1,ODI v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
166,2,2,0,0,2,1,ODI v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
167,0,0,0,0,0,1,T20I v Australia,Rajkot,10 Oct 2013,T20I # 331
168,1,1,0,0,1,1,ODI v Australia,Pune,13 Oct 2013,ODI # 3419
169,0,0,0,0,0,1,ODI v Australia,Jaipur,16 Oct 2013,ODI # 3420
170,0,0,0,0,0,2,ODI v Australia,Mohali,19 Oct 2013,ODI # 3421
171,0,0,0,0,0,1,ODI v Australia,Ranchi,23 Oct 2013,ODI # 3422
172,2,2,0,0,2,1,ODI v Australia,Nagpur,30 Oct 2013,ODI # 3424
173,1,1,0,0,1,2,ODI v Australia,Bengaluru,2 Nov 2013,ODI # 3428
174,0,0,0,0,0,1,Test v West Indies,Eden Gardens,6 Nov 2013,Test # 2101
175,1,1,0,0,1,3,Test v West Indies,Eden Gardens,6 Nov 2013,Test # 2101
176,0,0,0,0,0,1,Test v West Indies,Wankhede,14 Nov 2013,Test # 2102
177,0,0,0,0,0,3,Test v West Indies,Wankhede,14 Nov 2013,Test # 2102
178,0,0,0,0,0,1,ODI v West Indies,Kochi,21 Nov 2013,ODI # 3436
179,0,0,0,0,0,2,ODI v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
180,0,0,0,0,0,1,ODI v West Indies,Kanpur,27 Nov 2013,ODI # 3439
181,1,1,0,0,1,1,ODI v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
182,0,0,0,0,0,1,ODI v South Africa,Durban,8 Dec 2013,ODI # 3443
183,0,0,0,0,0,1,ODI v South Africa,Centurion,11 Dec 2013,ODI # 3444
184,0,0,0,0,0,2,Test v South Africa,Johannesburg,18 Dec 2013,Test # 2108
185,0,0,0,0,0,4,Test v South Africa,Johannesburg,18 Dec 2013,Test # 2108
186,1,1,0,0,1,2,Test v South Africa,Durban,26 Dec 2013,Test # 2111
187,0,0,0,0,0,4,Test v South Africa,Durban,26 Dec 2013,Test # 2111
188,0,0,0,0,0,1,ODI v New Zealand,Napier,19 Jan 2014,ODI # 3456
189,0,0,0,0,0,1,ODI v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
190,0,0,0,0,0,1,ODI v New Zealand,Auckland,25 Jan 2014,ODI # 3462
191,0,0,0,0,0,2,ODI v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
192,0,0,0,0,0,1,ODI v New Zealand,Wellington,31 Jan 2014,ODI # 3467
193,1,1,0,0,1,1,Test v New Zealand,Auckland,6 Feb 2014,Test # 2118
194,0,0,0,0,0,3,Test v New Zealand,Auckland,6 Feb 2014,Test # 2118
195,1,1,0,0,1,1,Test v New Zealand,Wellington,14 Feb 2014,Test # 2120
196,0,0,0,0,0,3,Test v New Zealand,Wellington,14 Feb 2014,Test # 2120
197,0,0,0,0,0,1,ODI v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
198,0,0,0,0,0,2,ODI v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
199,0,0,0,0,0,2,ODI v Pakistan,Mirpur,2 Mar 2014,ODI # 3479
200,2,2,0,0,2,1,ODI v Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
201,0,0,0,0,0,1,T20I v Pakistan,Mirpur,21 Mar 2014,T20I # 378
202,1,1,0,0,1,1,T20I v West Indies,Mirpur,23 Mar 2014,T20I # 382
203,1,1,0,0,1,1,T20I v Bangladesh,Mirpur,28 Mar 2014,T20I # 389
204,2,2,0,0,2,2,T20I v Australia,Mirpur,30 Mar 2014,T20I # 393
205,0,0,0,0,0,1,T20I v South Africa,Mirpur,4 Apr 2014,T20I # 399
206,1,1,0,0,1,2,T20I v Sri Lanka,Mirpur,6 Apr 2014,T20I # 400
207,0,0,0,0,0,2,Test v England,Nottingham,9 Jul 2014,Test # 2128
208,0,0,0,0,0,2,Test v England,Lord's,17 Jul 2014,Test # 2130
209,0,0,0,0,0,4,Test v England,Lord's,17 Jul 2014,Test # 2130
210,0,0,0,0,0,1,Test v England,Southampton,27 Jul 2014,Test # 2132
211,0,0,0,0,0,3,Test v England,Southampton,27 Jul 2014,Test # 2132
212,0,0,0,0,0,2,Test v England,Manchester,7 Aug 2014,Test # 2134
213,1,1,0,0,1,2,Test v England,The Oval,15 Aug 2014,Test # 2137
214,1,1,0,0,1,2,ODI v England,Cardiff,27 Aug 2014,ODI # 3517
215,0,0,0,0,0,1,ODI v England,Nottingham,30 Aug 2014,ODI # 3520
216,0,0,0,0,0,1,ODI v England,Birmingham,2 Sep 2014,ODI # 3523
217,0,0,0,0,0,1,ODI v England,Leeds,5 Sep 2014,ODI # 3525
218,0,0,0,0,0,1,T20I v England,Birmingham,7 Sep 2014,T20I # 405
219,1,1,0,0,1,1,ODI v West Indies,Kochi,8 Oct 2014,ODI # 3531
220,1,1,0,0,1,2,ODI v West Indies,Delhi,11 Oct 2014,ODI # 3533
221,0,0,0,0,0,2,ODI v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
222,1,1,0,0,1,2,ODI v Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539
223,0,0,0,0,0,1,ODI v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
224,1,1,0,0,1,1,ODI v Sri Lanka,Hyderabad,9 Nov 2014,ODI # 3543
225,1,1,0,0,1,2,ODI v Sri Lanka,Eden Gardens,13 Nov 2014,ODI # 3544
226,0,0,0,0,0,1,ODI v Sri Lanka,Ranchi,16 Nov 2014,ODI # 3547
227,1,1,0,0,1,1,Test v Australia,Adelaide,9 Dec 2014,Test # 2148
228,0,0,0,0,0,3,Test v Australia,Adelaide,9 Dec 2014,Test # 2148
229,0,0,0,0,0,2,Test v Australia,Brisbane,17 Dec 2014,Test # 2149
230,1,1,0,0,1,4,Test v Australia,Brisbane,17 Dec 2014,Test # 2149
231,0,0,0,0,0,1,Test v Australia,Melbourne,26 Dec 2014,Test # 2152
232,0,0,0,0,0,3,Test v Australia,Melbourne,26 Dec 2014,Test # 2152
233,0,0,0,0,0,1,Test v Australia,Sydney,6 Jan 2015,Test # 2156
234,0,0,0,0,0,3,Test v Australia,Sydney,6 Jan 2015,Test # 2156
235,0,0,0,0,0,2,ODI v Australia,Melbourne,18 Jan 2015,ODI # 3582
236,1,1,0,0,1,2,ODI v England,Brisbane,20 Jan 2015,ODI # 3586
237,TDNF,-,-,-,-,-,ODI v Australia,Sydney,26 Jan 2015,ODI # 3592
238,0,0,0,0,0,2,ODI v England,W.A.C.A,30 Jan 2015,ODI # 3595
239,1,1,0,0,1,2,ODI v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
240,1,1,0,0,1,2,ODI v South Africa,Melbourne,22 Feb 2015,ODI # 3610
241,0,0,0,0,0,1,ODI v U.A.E.,W.A.C.A,28 Feb 2015,ODI # 3618
242,2,2,0,0,2,1,ODI v West Indies,W.A.C.A,6 Mar 2015,ODI # 3625
243,0,0,0,0,0,1,ODI v Ireland,Hamilton,10 Mar 2015,ODI # 3631
244,0,0,0,0,0,1,ODI v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
245,0,0,0,0,0,2,ODI v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
246,1,1,0,0,1,1,ODI v Australia,Sydney,26 Mar 2015,ODI # 3645
247,0,0,0,0,0,2,Test v Bangladesh,Fatullah,10 Jun 2015,Test # 2165
248,0,0,0,0,0,3,Test v Bangladesh,Fatullah,10 Jun 2015,Test # 2165
249,1,1,0,0,1,1,ODI v Bangladesh,Mirpur,18 Jun 2015,ODI # 3658
250,0,0,0,0,0,2,ODI v Bangladesh,Mirpur,21 Jun 2015,ODI # 3660
251,0,0,0,0,0,2,ODI v Bangladesh,Mirpur,24 Jun 2015,ODI # 3661
252,0,0,0,0,0,1,Test v Sri Lanka,Galle,12 Aug 2015,Test # 2176
253,0,0,0,0,0,3,Test v Sri Lanka,Galle,12 Aug 2015,Test # 2176
254,0,0,0,0,0,2,Test v Sri Lanka,Colombo (PSS),20 Aug 2015,Test # 2177
255,1,1,0,0,1,4,Test v Sri Lanka,Colombo (PSS),20 Aug 2015,Test # 2177
256,1,1,0,0,1,2,Test v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
257,1,1,0,0,1,4,Test v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
258,0,0,0,0,0,2,T20I v South Africa,Dharamsala,2 Oct 2015,T20I # 456
259,0,0,0,0,0,2,T20I v South Africa,Cuttack,5 Oct 2015,T20I # 457
260,0,0,0,0,0,1,ODI v South Africa,Kanpur,11 Oct 2015,ODI # 3689
261,3,3,0,0,3,2,ODI v South Africa,Indore,14 Oct 2015,ODI # 3692
262,0,0,0,0,0,1,ODI v South Africa,Rajkot,18 Oct 2015,ODI # 3695
263,0,0,0,0,0,2,ODI v South Africa,Chennai,22 Oct 2015,ODI # 3698
264,1,1,0,0,1,1,ODI v South Africa,Wankhede,25 Oct 2015,ODI # 3700
265,0,0,0,0,0,2,Test v South Africa,Mohali,5 Nov 2015,Test # 2186
266,1,1,0,0,1,4,Test v South Africa,Mohali,5 Nov 2015,Test # 2186
267,0,0,0,0,0,1,Test v South Africa,Bengaluru,14 Nov 2015,Test # 2188
268,0,0,0,0,0,2,Test v South Africa,Nagpur,25 Nov 2015,Test # 2189
269,2,2,0,0,2,4,Test v South Africa,Nagpur,25 Nov 2015,Test # 2189
270,0,0,0,0,0,2,Test v South Africa,Delhi,3 Dec 2015,Test # 2191
271,0,0,0,0,0,4,Test v South Africa,Delhi,3 Dec 2015,Test # 2191
272,2,2,0,0,2,2,ODI v Australia,W.A.C.A,12 Jan 2016,ODI # 3723
273,1,1,0,0,1,2,ODI v Australia,Brisbane,15 Jan 2016,ODI # 3724
274,0,0,0,0,0,2,ODI v Australia,Melbourne,17 Jan 2016,ODI # 3725
275,1,1,0,0,1,1,ODI v Australia,Canberra,20 Jan 2016,ODI # 3726
276,0,0,0,0,0,1,ODI v Australia,Sydney,23 Jan 2016,ODI # 3727
277,2,2,0,0,2,2,T20I v Australia,Adelaide,26 Jan 2016,T20I # 485
278,0,0,0,0,0,2,T20I v Australia,Melbourne,29 Jan 2016,T20I # 486
279,0,0,0,0,0,1,T20I v Australia,Sydney,31 Jan 2016,T20I # 489
280,0,0,0,0,0,2,T20I v Bangladesh,Mirpur,24 Feb 2016,T20I # 509
281,0,0,0,0,0,1,T20I v Pakistan,Mirpur,27 Feb 2016,T20I # 512
282,0,0,0,0,0,1,T20I v Sri Lanka,Mirpur,1 Mar 2016,T20I # 515
283,1,1,0,0,1,1,T20I v U.A.E.,Mirpur,3 Mar 2016,T20I # 517
284,1,1,0,0,1,1,T20I v Bangladesh,Mirpur,6 Mar 2016,T20I # 521
285,0,0,0,0,0,1,T20I v New Zealand,Nagpur,15 Mar 2016,T20I # 535
286,1,1,0,0,1,1,T20I v Pakistan,Eden Gardens,19 Mar 2016,T20I # 541
287,1,1,0,0,1,2,T20I v Bangladesh,Bengaluru,23 Mar 2016,T20I # 547
288,1,1,0,0,1,1,T20I v Australia,Mohali,27 Mar 2016,T20I # 553
289,0,0,0,0,0,2,T20I v West Indies,Wankhede,31 Mar 2016,T20I # 556
290,1,1,0,0,1,2,Test v West Indies,North Sound,21 Jul 2016,Test # 2207
291,1,1,0,0,1,3,Test v West Indies,North Sound,21 Jul 2016,Test # 2207
292,2,2,0,0,2,1,Test v West Indies,Kingston,30 Jul 2016,Test # 2211
293,0,0,0,0,0,3,Test v West Indies,Kingston,30 Jul 2016,Test # 2211
294,1,1,0,0,1,2,Test v West Indies,Gros Islet,9 Aug 2016,Test # 2215
295,1,1,0,0,1,4,Test v West Indies,Gros Islet,9 Aug 2016,Test # 2215
296,0,0,0,0,0,1,Test v West Indies,Port of Spain,18 Aug 2016,Test # 2218
297,0,0,0,0,0,1,T20I v West Indies,Lauderhill,27 Aug 2016,T20I # 562
298,1,1,0,0,1,1,T20I v West Indies,Lauderhill,28 Aug 2016,T20I # 563
299,0,0,0,0,0,2,Test v New Zealand,Kanpur,22 Sep 2016,Test # 2221
300,0,0,0,0,0,4,Test v New Zealand,Kanpur,22 Sep 2016,Test # 2221
301,0,0,0,0,0,2,Test v New Zealand,Eden Gardens,30 Sep 2016,Test # 2222
302,1,1,0,0,1,4,Test v New Zealand,Eden Gardens,30 Sep 2016,Test # 2222
303,1,1,0,0,1,2,Test v New Zealand,Indore,8 Oct 2016,Test # 2223
