,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match id
578,54,118,72,2,1,75.00,3,caught,2,ODI v Australia,Chennai,22 Mar 2023,ODI # 4545
579,14,56,31,2,0,45.16,4,caught,2,Test v Australia,The Oval,7 Jun 2023,Test # 2505
580,49,115,78,7,0,62.82,4,caught,4,Test v Australia,The Oval,7 Jun 2023,Test # 2505
581,76,262,182,5,0,41.75,4,caught,2,Test v West Indies,Roseau,12 Jul 2023,Test # 2510
582,121,272,206,11,0,58.73,4,run out,1,Test v West Indies,Port of Spain,20 Jul 2023,Test # 2513
583,DNB,-,-,-,-,-,-,-,3,Test v West Indies,Port of Spain,20 Jul 2023,Test # 2513
584,DNB,-,-,-,-,-,-,-,2,ODI v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
585,4,8,7,1,0,57.14,3,bowled,1,ODI v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
586,DNB,-,-,-,-,-,-,-,2,ODI v Nepal,Pallekele,4 Sep 2023,ODI # 4632
587,122*,147,94,9,3,129.78,3,not out,1,ODI v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
588,3,12,12,0,0,25.00,3,caught,1,ODI v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
589,DNB,-,-,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
590,56,63,61,5,1,91.80,3,caught,2,ODI v Australia,Rajkot,27 Sep 2023,ODI # 4657
591,85,171,116,6,0,73.27,3,caught,2,ODI v Australia,Chennai,8 Oct 2023,ODI # 4662
592,55*,64,56,6,0,98.21,3,not out,2,ODI v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
593,16,31,18,3,0,88.88,3,caught,2,ODI v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
594,103*,113,97,6,4,106.18,3,not out,2,ODI v Bangladesh,Pune,19 Oct 2023,ODI # 4674
595,95,154,104,8,2,91.34,3,caught,2,ODI v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
596,0,12,9,0,0,0.00,3,caught,1,ODI v England,Lucknow,29 Oct 2023,ODI # 4686
597,88,139,94,11,0,93.61,3,caught,1,ODI v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
